model_seed,reset_seed,time,action_distance,rectangle,current_class_min_y,endpoint_ball_min_y,all_maps_min_y,corner_distance,upper_rectangle,vertical_contains_anchor,anchor_down,correction_down,proposal_down,emitted_down,proposal_enters_descent,emitted_enters_descent,clipping_raises_y,clipping_blocks_entry,proposal_wrong_x,current_class_can_move_down,current_class_can_enter,endpoint_ball_can_enter,full_map_can_enter,fixed_vertical_matrix_enters,fixed_vertical_matrix_moves_down
0,51000079,1,1.4553415403832446,0,3.0,2.5023040771484375,2.5023040771484375,0.7487432189093052,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000080,1,1.3563745601246628,0,3.0,2.539356231689453,2.539356231689453,0.6740223412779754,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000081,1,0.003137350082397461,2,2.5213370323181152,2.5213370323181152,2.5213370323181152,0.0,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True
0,51000082,1,1.3283224426820237,0,3.0,2.435353994369507,2.435353994369507,0.5809457240688684,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000083,1,1.3748158781446327,0,3.0,2.6555168628692627,2.6555168628692627,0.7884715402023762,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000084,1,1.2736780026833858,0,3.0,2.5807671546936035,2.5807671546936035,0.6362909187859013,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000085,1,1.451534545237372,0,3.0,2.568979024887085,2.568979024887085,0.7894883192816973,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000086,1,1.010693726020527,0,3.0,2.514150857925415,2.514150857925415,0.5109715461730957,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000086,2,0.9497979123533515,0,3.0,2.5925776958465576,2.5925776958465576,0.5376384258270264,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000086,3,1.4067850079057018,0,3.0,2.614119291305542,2.614119291305542,0.7819238481256443,True,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True
0,51000087,1,1.4348467789573685,0,3.0,2.513178586959839,2.513178586959839,0.7198937757393203,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000088,1,1.378898925640191,0,3.0,2.4481618404388428,2.4481618404388428,0.6575915955031384,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000090,1,1.3249893363081193,0,3.0,2.6981565952301025,2.6981565952301025,0.7762044116955102,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True
