source,stratum,epsilon,event,zero_denominators,physical_count,physical_median,physical_p90,physical_p95,physical_p99,physical_p99_9,physical_max,physical_above_1,physical_above_1.05,physical_above_1.25,physical_above_2,physical_above_5,visible_count,visible_median,visible_p90,visible_p95,visible_p99,visible_p99_9,visible_max,visible_above_1,visible_above_1.05,visible_above_1.25,visible_above_2,visible_above_5
natural,hazard_interior,0.001,all,4,92,0.9999999999987763,1.0000000000021103,1.0000000000025626,1.0000000000034284,1.000000000006338,1.0000000000066613,0.0,0.0,0.0,0.0,0.0,92,0.9999275207520633,1.0002380107394075,1.0004043579102664,1.000452856673713,1.0005208814017006,1.0005284397048104,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.001,preserving,4,92,0.9999999999987763,1.0000000000021103,1.0000000000025626,1.0000000000034284,1.000000000006338,1.0000000000066613,0.0,0.0,0.0,0.0,0.0,92,0.9999275207520633,1.0002380107394075,1.0004043579102664,1.000452856673713,1.0005208814017006,1.0005284397048104,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.001,collision_unchanged,4,92,0.9999999999987763,1.0000000000021103,1.0000000000025626,1.0000000000034284,1.000000000006338,1.0000000000066613,0.0,0.0,0.0,0.0,0.0,92,0.9999275207520633,1.0002380107394075,1.0004043579102664,1.000452856673713,1.0005208814017006,1.0005284397048104,0.0,0.0,0.0,0.0,0.0
natural,hazard_boundary,0.1,all,0,96,0.9999999999999787,1.0000000000000233,1.000000000000027,1.0510018515660873,1.0759635666303087,1.0787370905263327,0.020833333333333332,0.010416666666666666,0.0,0.0,0.0,96,0.9999990463256834,1.000001686646094,1.0000038146972647,1.051002117063834,1.0759648531680466,1.0787384905129587,0.020833333333333332,0.010416666666666666,0.0,0.0,0.0
natural,hazard_boundary,0.1,preserving,0,93,0.9999999999999787,1.0000000000000233,1.0000000000000273,1.0518777012174636,1.0760511515954463,1.0787370905263327,0.021505376344086023,0.010752688172043012,0.0,0.0,0.0,93,0.9999990463256833,1.0000017521372757,1.0000038146972647,1.0518780025411747,1.0760524417157806,1.0787384905129587,0.021505376344086023,0.010752688172043012,0.0,0.0,0.0
natural,hazard_boundary,0.1,death_switching,0,3,0.9999999999999787,1.0000000000000016,1.0000000000000044,1.0000000000000067,1.0000000000000073,1.0000000000000073,0.0,0.0,0.0,0.0,0.0,3,0.9999990463256836,0.9999995579008616,0.9999996218477588,0.9999996730052766,0.9999996845157181,0.999999685794656,0.0,0.0,0.0,0.0,0.0
natural,hazard_boundary,0.1,collision_changed,0,18,0.3686665539001932,0.8047211253697645,1.053921350404008,1.0737739425018678,1.0782407757238863,1.0787370905263327,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,18,0.36866784480340276,0.8047212590895609,1.0539217353216366,1.0737751394746942,1.0782421554091322,1.0787384905129587,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0
natural,hazard_boundary,0.1,collision_unchanged,0,78,0.9999999999999789,1.0000000000000233,1.0000000000000262,1.00000000000004,1.000000000000064,1.0000000000000666,0.0,0.0,0.0,0.0,0.0,78,0.9999990463256838,1.0000016429853058,1.0000033579615883,1.0000040700227317,1.0000048393294652,1.000004924807991,0.0,0.0,0.0,0.0,0.0
natural,hazard_boundary,0.03,all,0,96,0.9999999999999329,1.000000000000038,1.0000000000000446,1.0632983189315606,2.145699572658201,2.2659663786278057,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.0,96,0.9999990463256827,1.0000062774588028,1.0000069936116533,1.0633549642602795,2.1457084174160364,2.2659699122110983,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.0
natural,hazard_boundary,0.03,preserving,0,96,0.9999999999999329,1.000000000000038,1.0000000000000446,1.0632983189315606,2.145699572658201,2.2659663786278057,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.0,96,0.9999990463256827,1.0000062774588028,1.0000069936116533,1.0633549642602795,2.1457084174160364,2.2659699122110983,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.0
natural,hazard_boundary,0.03,collision_changed,0,7,0.5559869618255606,1.3297068828022882,1.7978366307150457,2.1723404290452533,2.2566037836695516,2.2659663786278057,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,7,0.5559873951627373,1.3297051052483013,1.7978375087296983,2.172343431514818,2.256607264141471,2.2659699122110983,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
natural,hazard_boundary,0.03,collision_unchanged,0,89,0.9999999999999615,1.000000000000038,1.0000000000000382,1.0000000000001763,1.0000000000001823,1.000000000000183,0.0,0.0,0.0,0.0,0.0,89,0.9999990463256827,1.0000058477670928,1.000006993611653,1.000021013407721,1.0000555979563042,1.0000594406839245,0.0,0.0,0.0,0.0,0.0
natural,hazard_boundary,0.01,all,1,95,0.999999999999889,1.0000000000002098,1.000000000000333,1.0000000000003972,1.000000000000458,1.0000000000004647,0.0,0.0,0.0,0.0,0.0,95,0.9999990463256827,1.0000182486054392,1.0000228881835929,1.00002580859864,1.0000669864508054,1.0000715617677127,0.0,0.0,0.0,0.0,0.0
natural,hazard_boundary,0.01,preserving,1,95,0.999999999999889,1.0000000000002098,1.000000000000333,1.0000000000003972,1.000000000000458,1.0000000000004647,0.0,0.0,0.0,0.0,0.0,95,0.9999990463256827,1.0000182486054392,1.0000228881835929,1.00002580859864,1.0000669864508054,1.0000715617677127,0.0,0.0,0.0,0.0,0.0
