parameters,emitter,condition,epsilon,zero_denominators,projection_frequency,atom_frequency,count,median,p90,p95,p99,p99_9,max,above_1,above_1.05,above_1.25,above_2,above_5,atom_switch_fraction
spectral_s0,frobenius,off_diagonal_fixed_xprime,0.003,0,0.05859375,0.09765625,256,0.3190031141963473,0.48876302570891444,0.5165256003728492,0.5408747117460317,0.5445221686081513,0.5447964456975286,0.0,0.0,0.0,0.0,0.0,
spectral_s0,frobenius,off_diagonal_fixed_xprime,0.001,0,0.06640625,0.0859375,256,0.314862127448467,0.4887630067424137,0.5144490066486285,0.5370747850269912,0.5442938307609669,0.544927182589538,0.0,0.0,0.0,0.0,0.0,
spectral_s0,spectral,diagonal_center_fixed_xprime,0.1,0,0.080078125,0.09375,256,0.30295227916882206,0.48006341933910934,0.5166360485518998,0.5344753578484154,0.5410426015604186,0.5423535544528212,0.0,0.0,0.0,0.0,0.0,
spectral_s0,spectral,diagonal_center_fixed_xprime,0.03,0,0.013671875,0.08203125,256,0.3348910817883826,0.4887739855825758,0.519831055645003,0.541263876820936,0.5450539965931576,0.54508754097531,0.0,0.0,0.0,0.0,0.0,
spectral_s0,spectral,diagonal_center_fixed_xprime,0.01,0,0.021484375,0.078125,256,0.3179819885326174,0.48880262585042766,0.5220144403809628,0.5396868558211286,0.5450355595516667,0.5450708998270921,0.0,0.0,0.0,0.0,0.0,
spectral_s0,spectral,diagonal_center_fixed_xprime,0.003,0,0.013671875,0.09765625,256,0.3180164029986586,0.48882949469108905,0.5234597609569073,0.5413154708639996,0.5451162999081427,0.5451372423024189,0.0,0.0,0.0,0.0,0.0,
spectral_s0,spectral,diagonal_center_fixed_xprime,0.001,0,0.02734375,0.0859375,256,0.3161515875091736,0.48857244176721903,0.519938315198156,0.5387911370256864,0.5445928793057404,0.5453995722467653,0.0,0.0,0.0,0.0,0.0,
spectral_s0,spectral,off_diagonal_fixed_xprime,0.1,0,0.072265625,0.09375,256,0.3115668012686227,0.4887739742412446,0.5145517470724869,0.5369198410267222,0.5442192029816992,0.5448570773163266,0.0,0.0,0.0,0.0,0.0,
spectral_s0,spectral,off_diagonal_fixed_xprime,0.03,0,0.064453125,0.08203125,256,0.31497748118343954,0.48877376839379655,0.5145523533152145,0.5369198252796115,0.5442169799937959,0.5448562865222719,0.0,0.0,0.0,0.0,0.0,
spectral_s0,spectral,off_diagonal_fixed_xprime,0.01,0,0.05859375,0.078125,256,0.3149805461389641,0.48876928734594205,0.5145465555354665,0.5369159118202484,0.5442286130056814,0.5448793157122375,0.0,0.0,0.0,0.0,0.0,
spectral_s0,spectral,off_diagonal_fixed_xprime,0.003,0,0.05859375,0.09765625,256,0.3190031141963473,0.48876302570891444,0.5165256003728492,0.5408747117460317,0.5445221686081513,0.5447964456975286,0.0,0.0,0.0,0.0,0.0,
spectral_s0,spectral,off_diagonal_fixed_xprime,0.001,0,0.06640625,0.0859375,256,0.314862127448467,0.4887630067424137,0.5144490066486285,0.5370747850269912,0.5442938307609669,0.544927182589538,0.0,0.0,0.0,0.0,0.0,
spectral_s0,diagonal,both_action_slots_vary,0.1,0,,,256,0.9958712504987131,1.0154374800664212,1.0195748796888933,1.0638241834850468,10.169762998165702,11.427263111773051,0.26953125,0.01171875,0.0078125,0.0078125,0.0078125,0.0
spectral_s0,diagonal,both_action_slots_vary,0.03,0,,,256,0.9945176592789273,1.0146092266745916,1.0182780281853294,1.0483353859157374,1.079435660753376,1.0851557281422173,0.26171875,0.0078125,0.0,0.0,0.0,0.0
spectral_s0,diagonal,both_action_slots_vary,0.01,0,,,256,0.9957258851795764,1.0148936010633007,1.0201469402360008,1.049851113434762,1.080088252734392,1.0815811105563131,0.26171875,0.0078125,0.0,0.0,0.0,0.0
spectral_s0,diagonal,both_action_slots_vary,0.003,0,,,256,0.9949368296290975,1.0145189646522021,1.018805983727636,1.0470488290405473,1.0713771348724659,1.0775229076612285,0.265625,0.0078125,0.0,0.0,0.0,0.0
spectral_s0,diagonal,both_action_slots_vary,0.001,0,,,256,0.9954601274837701,1.014593536935593,1.018456525592562,1.0495626335255273,1.0746134853848264,1.0771439214617773,0.27734375,0.0078125,0.0,0.0,0.0,0.0
frobenius_s1,frobenius,diagonal_center_fixed_xprime,0.1,0,0.001953125,0.09375,256,0.21220249446261646,0.4591899467096813,0.48465645757978926,0.559810806066635,0.6440273498344236,0.65618940313274,0.0,0.0,0.0,0.0,0.0,
